Track,Driver,Best Strategy (Degradation),Two-stop Win Prob (Deg)
Monaco,Max Verstappen,Two-stop,0.9666666666666667
Monaco,Lewis Hamilton,Two-stop,0.9353333333333333
Monaco,Charles Leclerc,Two-stop,0.9693333333333334
Monaco,Carlos Sainz,Two-stop,0.9466666666666667
Monaco,Lando Norris,Two-stop,0.9496666666666667
Monaco,Sergio Pérez,Two-stop,0.9413333333333334
Monaco,George Russell,Two-stop,0.9526666666666667
Monaco,Fernando Alonso,Two-stop,0.935
Monaco,Esteban Ocon,Two-stop,0.9526666666666667
Monaco,Pierre Gasly,Two-stop,0.95
Singapore,Max Verstappen,Two-stop,0.998
Singapore,Lewis Hamilton,Two-stop,0.9903333333333333
Singapore,Charles Leclerc,Two-stop,0.9973333333333333
Singapore,Carlos Sainz,Two-stop,0.996
Singapore,Lando Norris,Two-stop,0.996
Singapore,Sergio Pérez,Two-stop,0.9906666666666667
Singapore,George Russell,Two-stop,0.994
Singapore,Fernando Alonso,Two-stop,0.9876666666666667
Singapore,Esteban Ocon,Two-stop,0.9973333333333333
Singapore,Pierre Gasly,Two-stop,0.996
Baku,Max Verstappen,Two-stop,0.981
Baku,Lewis Hamilton,Two-stop,0.956
Baku,Charles Leclerc,Two-stop,0.9856666666666667
Baku,Carlos Sainz,Two-stop,0.975
Baku,Lando Norris,Two-stop,0.9733333333333334
Baku,Sergio Pérez,Two-stop,0.954
Baku,George Russell,Two-stop,0.9753333333333334
Baku,Fernando Alonso,Two-stop,0.953
Baku,Esteban Ocon,Two-stop,0.975
Baku,Pierre Gasly,Two-stop,0.9706666666666667
Bahrain,Max Verstappen,Two-stop,0.9996666666666667
Bahrain,Lewis Hamilton,Two-stop,0.9966666666666667
Bahrain,Charles Leclerc,Two-stop,1.0
Bahrain,Carlos Sainz,Two-stop,0.9996666666666667
Bahrain,Lando Norris,Two-stop,0.999
Bahrain,Sergio Pérez,Two-stop,0.998
Bahrain,George Russell,Two-stop,0.9996666666666667
Bahrain,Fernando Alonso,Two-stop,0.9976666666666667
Bahrain,Esteban Ocon,Two-stop,0.9986666666666667
Bahrain,Pierre Gasly,Two-stop,0.999
Barcelona,Max Verstappen,Two-stop,0.9983333333333333
Barcelona,Lewis Hamilton,Two-stop,0.9903333333333333
Barcelona,Charles Leclerc,Two-stop,0.999
Barcelona,Carlos Sainz,Two-stop,0.9966666666666667
Barcelona,Lando Norris,Two-stop,0.9966666666666667
Barcelona,Sergio Pérez,Two-stop,0.9893333333333333
Barcelona,George Russell,Two-stop,0.996
Barcelona,Fernando Alonso,Two-stop,0.9916666666666667
Barcelona,Esteban Ocon,Two-stop,0.9966666666666667
Barcelona,Pierre Gasly,Two-stop,0.995
Silverstone,Max Verstappen,Two-stop,0.9963333333333333
Silverstone,Lewis Hamilton,Two-stop,0.9853333333333333
Silverstone,Charles Leclerc,Two-stop,0.995
Silverstone,Carlos Sainz,Two-stop,0.9916666666666667
Silverstone,Lando Norris,Two-stop,0.9896666666666667
Silverstone,Sergio Pérez,Two-stop,0.984
Silverstone,George Russell,Two-stop,0.989
Silverstone,Fernando Alonso,Two-stop,0.9853333333333333
Silverstone,Esteban Ocon,Two-stop,0.9906666666666667
Silverstone,Pierre Gasly,Two-stop,0.991
