Track,Driver,Best Strategy (Full Sim),Two-stop Win Prob (Full)
Monaco,Max Verstappen,Two-stop,0.9983333333333333
Monaco,Lewis Hamilton,Two-stop,0.996
Monaco,Charles Leclerc,Two-stop,0.9983333333333333
Monaco,Carlos Sainz,Two-stop,0.9973333333333333
Monaco,Lando Norris,Two-stop,0.998
Monaco,Sergio Pérez,Two-stop,0.996
Monaco,George Russell,Two-stop,0.9963333333333333
Monaco,Fernando Alonso,Two-stop,0.9963333333333333
Monaco,Esteban Ocon,Two-stop,0.9956666666666667
Monaco,Pierre Gasly,Two-stop,0.9976666666666667
Singapore,Max Verstappen,Two-stop,1.0
Singapore,Lewis Hamilton,Two-stop,0.9996666666666667
Singapore,Charles Leclerc,Two-stop,0.9996666666666667
Singapore,Carlos Sainz,Two-stop,0.9996666666666667
Singapore,Lando Norris,Two-stop,1.0
Singapore,Sergio Pérez,Two-stop,1.0
Singapore,George Russell,Two-stop,1.0
Singapore,Fernando Alonso,Two-stop,1.0
Singapore,Esteban Ocon,Two-stop,1.0
Singapore,Pierre Gasly,Two-stop,1.0
Baku,Max Verstappen,Two-stop,1.0
Baku,Lewis Hamilton,Two-stop,0.9993333333333333
Baku,Charles Leclerc,Two-stop,1.0
Baku,Carlos Sainz,Two-stop,1.0
Baku,Lando Norris,Two-stop,1.0
Baku,Sergio Pérez,Two-stop,1.0
Baku,George Russell,Two-stop,0.9996666666666667
Baku,Fernando Alonso,Two-stop,1.0
Baku,Esteban Ocon,Two-stop,1.0
Baku,Pierre Gasly,Two-stop,1.0
Bahrain,Max Verstappen,Two-stop,1.0
Bahrain,Lewis Hamilton,Two-stop,1.0
Bahrain,Charles Leclerc,Two-stop,1.0
Bahrain,Carlos Sainz,Two-stop,1.0
Bahrain,Lando Norris,Two-stop,1.0
Bahrain,Sergio Pérez,Two-stop,1.0
Bahrain,George Russell,Two-stop,1.0
Bahrain,Fernando Alonso,Two-stop,1.0
Bahrain,Esteban Ocon,Two-stop,1.0
Bahrain,Pierre Gasly,Two-stop,1.0
Barcelona,Max Verstappen,Two-stop,1.0
Barcelona,Lewis Hamilton,Two-stop,1.0
Barcelona,Charles Leclerc,Two-stop,1.0
Barcelona,Carlos Sainz,Two-stop,1.0
Barcelona,Lando Norris,Two-stop,0.9996666666666667
Barcelona,Sergio Pérez,Two-stop,1.0
Barcelona,George Russell,Two-stop,1.0
Barcelona,Fernando Alonso,Two-stop,1.0
Barcelona,Esteban Ocon,Two-stop,1.0
Barcelona,Pierre Gasly,Two-stop,1.0
Silverstone,Max Verstappen,Two-stop,1.0
Silverstone,Lewis Hamilton,Two-stop,0.9996666666666667
Silverstone,Charles Leclerc,Two-stop,1.0
Silverstone,Carlos Sainz,Two-stop,1.0
Silverstone,Lando Norris,Two-stop,1.0
Silverstone,Sergio Pérez,Two-stop,1.0
Silverstone,George Russell,Two-stop,0.9996666666666667
Silverstone,Fernando Alonso,Two-stop,1.0
Silverstone,Esteban Ocon,Two-stop,1.0
Silverstone,Pierre Gasly,Two-stop,1.0
Monza,Max Verstappen,Two-stop,0.9996666666666667
Monza,Lewis Hamilton,Two-stop,1.0
Monza,Charles Leclerc,Two-stop,1.0
Monza,Carlos Sainz,Two-stop,1.0
Monza,Lando Norris,Two-stop,1.0
Monza,Sergio Pérez,Two-stop,0.9996666666666667
Monza,George Russell,Two-stop,0.999
Monza,Fernando Alonso,Two-stop,0.9996666666666667
Monza,Esteban Ocon,Two-stop,0.9996666666666667
Monza,Pierre Gasly,Two-stop,0.9996666666666667
Spa,Max Verstappen,Two-stop,1.0
Spa,Lewis Hamilton,Two-stop,1.0
Spa,Charles Leclerc,Two-stop,1.0
Spa,Carlos Sainz,Two-stop,1.0
Spa,Lando Norris,Two-stop,1.0
Spa,Sergio Pérez,Two-stop,1.0
Spa,George Russell,Two-stop,1.0
Spa,Fernando Alonso,Two-stop,1.0
Spa,Esteban Ocon,Two-stop,1.0
Spa,Pierre Gasly,Two-stop,1.0
Mexico,Max Verstappen,Two-stop,0.9996666666666667
Mexico,Lewis Hamilton,Two-stop,0.9996666666666667
Mexico,Charles Leclerc,Two-stop,1.0
Mexico,Carlos Sainz,Two-stop,1.0
Mexico,Lando Norris,Two-stop,1.0
Mexico,Sergio Pérez,Two-stop,1.0
Mexico,George Russell,Two-stop,1.0
Mexico,Fernando Alonso,Two-stop,0.9993333333333333
Mexico,Esteban Ocon,Two-stop,1.0
Mexico,Pierre Gasly,Two-stop,0.9996666666666667
AbuDhabi,Max Verstappen,Two-stop,1.0
AbuDhabi,Lewis Hamilton,Two-stop,0.9996666666666667
AbuDhabi,Charles Leclerc,Two-stop,1.0
AbuDhabi,Carlos Sainz,Two-stop,1.0
AbuDhabi,Lando Norris,Two-stop,1.0
AbuDhabi,Sergio Pérez,Two-stop,1.0
AbuDhabi,George Russell,Two-stop,1.0
AbuDhabi,Fernando Alonso,Two-stop,1.0
AbuDhabi,Esteban Ocon,Two-stop,1.0
AbuDhabi,Pierre Gasly,Two-stop,1.0
Suzuka,Max Verstappen,Two-stop,1.0
